neighbourhood_cleansed,price
East Garfield Park,34.0
West Town,78.0
Logan Square,104.0
North Center,125.0
North Center,121.0
Lincoln Square,55.0
Lincoln Park,46.0
Lake View,1271.0
Norwood Park,125.0
Humboldt Park,277.0
Lincoln Square,75.0
Near North Side,150.0
Rogers Park,34.0
West Town,95.0
Lincoln Park,47.0
Hermosa,80.0
Uptown,94.0
South Lawndale,100.0
West Town,65.0
Lower West Side,73.0
Lake View,29.0
Woodlawn,307.0
Greater Grand Crossing,39.0
Greater Grand Crossing,39.0
Greater Grand Crossing,39.0
Edgewater,49.0
Edgewater,44.0
West Town,132.0
Logan Square,69.0
Lake View,100.0
Logan Square,90.0
Lincoln Park,486.0
Near West Side,65.0
Near North Side,121.0
Woodlawn,72.0
Humboldt Park,71.0
Lake View,121.0
Oakland,50.0
West Town,80.0
West Town,307.0
North Center,115.0
Edgewater,82.0
Avondale,86.0
North Center,101.0
Logan Square,193.0
Logan Square,293.0
Logan Square,134.0
Logan Square,115.0
Rogers Park,48.0
Near North Side,91.0
Near West Side,154.0
West Town,280.0
Lincoln Park,125.0
Irving Park,33.0
Lake View,215.0
Logan Square,167.0
Logan Square,89.0
Rogers Park,287.0
Norwood Park,39.0
Lake View,171.0
Lake View,63.0
Logan Square,91.0
West Pullman,120.0
Lake View,234.0
West Town,95.0
Lake View,425.0
North Center,1500.0
Lincoln Square,70.0
West Town,650.0
Lake View,350.0
Rogers Park,94.0
Avondale,500.0
West Town,136.0
Logan Square,231.0
Lincoln Park,156.0
Belmont Cragin,85.0
West Ridge,65.0
Belmont Cragin,392.0
Rogers Park,58.0
Archer Heights,40.0
West Town,132.0
Portage Park,98.0
Lake View,399.0
Lake View,149.0
Logan Square,124.0
Armour Square,139.0
Lake View,82.0
Lake View,74.0
Edgewater,96.0
Lincoln Park,200.0
Irving Park,99.0
Edgewater,82.0
Lake View,110.0
West Town,115.0
Logan Square,122.0
Armour Square,79.0
Near North Side,100.0
Lake View,271.0
North Park,92.0
Lake View,95.0
Norwood Park,40.0
West Town,95.0
West Town,77.0
Uptown,154.0
North Center,80.0
